"profread","female","famrisk","center","noreadbo","minority","halfdayK","wksesl","p1ageent_66"
0,1,0,0,0,1,1,-0.44,-7
0,0,1,0,0,1,1,-0.63,-1
0,0,1,1,0,1,1,-1.16,1
0,1,1,1,1,1,1,-0.73,-2
0,0,1,0,0,1,1,-0.48,2
0,0,1,1,1,1,1,0.15,-7
0,0,1,1,0,1,1,0.14,-7
0,0,0,0,0,1,1,-0.12,2
0,0,1,0,0,1,1,-0.45,-4
0,1,0,0,0,1,0,-0.21,1
0,0,0,1,0,1,0,-0.22,-1
0,0,1,1,1,1,1,-0.16,-3
0,1,0,0,0,1,0,-0.22,-6
0,0,1,0,0,1,0,-0.51,1
0,0,0,0,0,1,0,-0.5,-9
0,0,1,1,1,1,0,-0.67,-8
0,1,1,1,0,0,0,-0.2,-7
0,1,1,1,0,0,0,-0.51,2
0,0,1,0,1,1,0,-0.66,-5
0,0,1,0,0,1,0,-0.38,-6
0,0,0,1,1,1,0,-0.63,2
0,0,0,1,0,1,0,0.18,1
0,1,0,1,0,0,0,-0.48,0
0,0,0,1,0,0,0,0.03,7
0,0,0,1,0,0,1,0.56,2
0,0,0,1,1,1,0,0.17,0
0,1,1,1,0,0,0,-0.29,-8
0,1,0,0,0,1,0,0.14,-4
0,1,1,1,0,1,0,-0.62,-5
0,0,1,1,0,1,0,0.61,0
0,1,0,1,0,0,0,0.09,0
0,0,1,1,0,1,0,-0.57,-3
0,0,0,1,0,0,0,1.1,-6
0,0,1,0,0,1,0,-0.47,0
0,1,1,0,1,1,0,-0.28,-6
0,0,1,0,1,1,0,-1.21,-4
0,0,0,1,0,1,0,0.6,6
0,0,0,1,0,0,0,0.51,4
0,1,0,0,0,0,0,-0.4,-2
0,1,1,1,1,0,0,-0.9,-2
0,0,1,0,0,0,0,-0.86,-5
0,0,0,0,1,0,0,-0.09,6
0,1,1,1,1,1,0,-0.43,0
0,1,0,0,0,0,0,-0.04,-3
0,1,0,1,1,1,0,-0.38,2
0,0,1,1,0,0,0,-0.55,-1
0,1,0,0,0,0,0,0.09,-2
0,1,0,1,0,0,1,0.28,-3
0,1,1,1,1,0,1,-0.41,-2
0,1,1,0,0,0,1,-0.32,-2
0,1,0,1,1,0,1,-0.19,-6
0,0,0,1,1,1,1,-0.68,-2
0,0,0,0,0,0,1,-0.3,-1
0,1,1,1,0,1,1,-0.78,-6
0,1,1,1,0,0,1,0.43,2
0,0,1,1,1,0,1,-0.69,3
0,0,1,1,0,1,1,-0.21,3
0,0,0,1,0,0,1,0.66,-5
0,0,0,0,1,0,1,-0.26,-3
0,0,0,0,0,0,1,-0.06,-5
0,1,1,1,0,1,1,-1.07,-5
0,0,0,1,0,0,1,-0.49,6
0,0,1,1,0,1,1,1.6,-9
0,0,0,1,0,0,1,0.63,-5
0,0,1,1,0,1,0,-0.39,-2
0,0,0,0,0,0,0,-0.41,-5
0,1,0,1,0,0,1,-0.62,-1
0,0,0,1,0,0,1,0.33,-4
1,0,0,1,0,0,1,-0.07,9
1,1,0,1,0,0,1,0.79,13
1,1,0,1,0,0,1,-0.46,-6
1,1,0,1,0,0,0,0.86,3
